Timestamp,What is your age group?,What is your gender?,What is your current occupation or professional status?,How many hours do you spend online daily ?,Which social media platforms do you use regularly? Select all that apply.,Have you ever clicked on a suspicious or unknown link while browsing or using social media?,I usually trust people I interact with online,I click on links before verifying their source,"Do you tend to share personal information online quickly when prompted, without much thought?",Have you heard of “social engineering” or "phising" as a cyber threat?,Which of the following do you recognize as social engineering tactics? Select all that apply.,"Do you regularly share personal details e.g., birthday, location, phone number on social media profiles?",Do you review and adjust privacy settings on your social media accounts?,Have you ever used public Wi-Fi networks for accessing your personal or academic accounts?,"Have you ever received suspicious emails, messages, or calls asking for your personal or financial information?",Have you ever been a victim of an online scam or identity theft?,"If yes, what type of scam did you experience?","If someone claiming to be university staff asks for your login credentials via email or social media, what would you do?","If you receive a message offering a prize or gift but requires personal information, how would you respond?",Do you use unique passwords for different online accounts?,Do you enable two-factor authentication 2FA on your important accounts?,How frequently do you update your passwords?,Do you consent to your anonymized responses being used for academic research purposes?,,,,,,,,,,,,
6/20/2025 0:33,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , LinkedIn , WhatsApp , Telegram , Other Please Specify",No ,Strongly Disagree  ,Strongly Disagree  ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ","Yes, always , ","Yes, regularly , ","Yes, frequently , ",No ,Yes ,Phishing email  ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 0:36,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , WhatsApp ",Yes ,Neutral ,Agree ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Sometimes  ,"Yes, regularly , ",Occasionally  ,Yes ,No ,,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Rarely ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/20/2025 0:47,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , TikTok , LinkedIn , WhatsApp , Telegram , Other Please Specify",Maybe ,Agree ,Agree ,"Yes, frequently , ",Yes ,None of the above   ,Sometimes  ,Occasionally  ,Occasionally  ,Yes ,No ,Other please specify     ,Provide the information immediately     ,Ignore or delete the message     ,Often ,No ,Every 1–3 months  – ,No ,,,,,,,,,,,,
6/20/2025 0:49,25–34     ,Male ,Job holder ,5–8 hours ,"Facebook , Instagram ",No ,Agree ,Disagree ,Sometimes  ,No ,None of the above   ,Never  ,Occasionally  ,Never  ,No ,No ,Other please specify     ,Ignore or delete the message     ,Report it to the platform or authorities     ,Always ,No ,Rarely or never    ,No ,,,,,,,,,,,,
6/20/2025 0:51,18–24     ,Male ,Student ,More than 8 hours   ,Facebook ,Yes ,Strongly Disagree  ,Disagree ,Never  ,Yes ,Phishing emails requesting personal info     ,Sometimes  ,Occasionally  ,"Yes, frequently , ",Yes ,Yes ,Fake social media profile or friend request       ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 0:51,18–24     ,Female ,Student ,5–8 hours ,"Facebook , WhatsApp ",Yes ,Neutral ,Agree ,Sometimes  ,Yes ,"Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Sometimes  ,Occasionally  ,"Yes, frequently , ",Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Always ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/20/2025 0:52,18–24     ,Male ,Student ,2–4 hours ,"Facebook , Instagram , Twitter / X  / , LinkedIn , WhatsApp , Telegram ",No ,Disagree ,Agree ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,"Yes, regularly , ","Yes, frequently , ",No ,No ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 0:57,18–24     ,Male ,Student ,5–8 hours ,"Facebook , TikTok ",Maybe ,Agree ,Strongly Disagree  ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Occasionally  ,Occasionally  ,Yes ,Yes ,Fake social media profile or friend request       ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 0:58,18–24     ,Male ,Student ,More than 8 hours   ,Facebook ,No ,Disagree ,Disagree ,Rarely ,Yes ,Phishing emails requesting personal info     ,Sometimes  ,Occasionally  ,Rarely ,No ,No ,Fake social media profile or friend request       ,Ignore or delete the message     ,Report it to the platform or authorities     ,Sometimes  ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 0:59,25–34     ,Male ,Job holder ,5–8 hours ,"Facebook , WhatsApp ",Maybe ,Neutral ,Neutral ,Sometimes  ,Yes ,Malware links in emails or messages     ,Sometimes  ,Occasionally  ,"Yes, frequently , ",No ,No ,Other please specify     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/20/2025 1:03,25–34     ,Male ,Unemployed ,2–4 hours ,"Facebook , Instagram , TikTok , WhatsApp ",Maybe ,Agree ,Disagree ,Never  ,No ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Rarely ,Never  ,Yes ,Yes ,Fake social media profile or friend request       ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 1:05,18–24     ,Female ,Student ,2–4 hours ,"Facebook , TikTok , WhatsApp ",Maybe ,Strongly Disagree  ,Agree ,Sometimes  ,No ,"Phishing emails requesting personal info     , Fake social media profiles/friend requests     ",Rarely ,Occasionally  ,Occasionally  ,Yes ,No ,Fake social media profile or friend request       ,Ignore or delete the message     ,Report it to the platform or authorities     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 1:07,18–24     ,Male ,Job holder ,Less than 2 hours   ,Facebook ,Yes ,Strongly Disagree  ,Disagree ,"Yes, frequently , ",No ,Fake social media profiles/friend requests     ,Never  ,Rarely ,"Yes, frequently , ",Yes ,Yes ,Phishing email  ,Provide the information immediately     ,Ignore or delete the message     ,Sometimes  ,No ,Once a year  ,Yes ,,,,,,,,,,,,
6/20/2025 1:09,18–24     ,Female ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , TikTok , LinkedIn , WhatsApp , Telegram , Other Please Specify",Yes ,Disagree ,Disagree ,Sometimes  ,Yes ,"Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,Occasionally  ,"Yes, frequently , ",No ,Yes ,Fake website or app    ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 2:27,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , Twitter / X  / , TikTok , LinkedIn , WhatsApp , Telegram ",Yes ,Agree ,Agree ,Sometimes  ,Yes ,Phishing emails requesting personal info     ,Rarely ,Occasionally  ,"Yes, frequently , ",No ,No ,Phishing email  ,Ignore or delete the message     ,Report it to the platform or authorities     ,Always ,No ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 3:08,18–24     ,Male ,Student ,2–4 hours ,"Facebook , WhatsApp ",Maybe ,Disagree ,Disagree ,Never  ,No ,None of the above   ,Sometimes  ,Occasionally  ,Occasionally  ,No ,No ,Other please specify     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
6/20/2025 4:18,18–24     ,Male ,Student ,2–4 hours ,"Facebook , WhatsApp ",Maybe ,Disagree ,Agree ,Sometimes  ,Yes ,Phone calls impersonating official staff      ,Rarely ,Occasionally  ,Rarely ,No ,Yes ,Fake website or app    ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/20/2025 8:26,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , LinkedIn , WhatsApp , Telegram ",Maybe ,Neutral ,Strongly Disagree  ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Malware links in emails or messages     ",Rarely ,Rarely ,Rarely ,Yes ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/20/2025 11:35,18–24     ,Male ,Student ,5–8 hours ,"Twitter / X  / , Telegram ",Yes ,Agree ,Neutral ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,Rarely ,"Yes, frequently , ",Yes ,No ,Other please specify     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 11:50,18–24     ,Female ,Student ,5–8 hours ,"Facebook , Instagram , WhatsApp ",Maybe ,Disagree ,Disagree ,Rarely ,No ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,Occasionally  ,Rarely ,Yes ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
6/20/2025 12:02,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , Other Please Specify",No ,Neutral ,Disagree ,Never  ,Yes ,"Phishing emails requesting personal info     , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Occasionally  ,Never  ,No ,Yes ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Always ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
6/20/2025 12:41,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , TikTok , WhatsApp ",Yes ,Agree ,Agree ,Sometimes  ,Yes ,Fake social media profiles/friend requests     ,Never  ,Occasionally  ,Occasionally  ,Yes ,Yes ,Phishing email  ,Provide the information immediately     ,Provide the requested information immediately    ,Often ,I don’t know what 2FA is  2FA   ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/20/2025 14:03,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , WhatsApp , Telegram ",Yes ,Agree ,Agree ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,Occasionally  ,"Yes, frequently , ",Yes ,Yes ,Fake website or app    ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Sometimes  ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 14:08,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , LinkedIn , WhatsApp , Telegram ",Maybe ,Neutral ,Strongly Agree  ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,"Yes, regularly , ",Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 15:00,18–24     ,Male ,Student ,5–8 hours ,Facebook ,Maybe ,Neutral ,Neutral ,Rarely ,No ,Fake social media profiles/friend requests     ,Sometimes  ,Occasionally  ,Occasionally  ,No ,No ,Fake website or app    ,Ignore or delete the message     ,Ignore or delete the message     ,Often ,No ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 15:37,18–24     ,Male ,Student ,5–8 hours ,"Twitter / X  / , WhatsApp , Telegram ",Yes ,Neutral ,Strongly Agree  ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Rarely ,Occasionally  ,Yes ,Yes ,Phishing email  ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Sometimes  ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/20/2025 15:40,18–24     ,Male ,Student ,2–4 hours ,"Twitter / X  / , WhatsApp , Telegram ",Yes ,Neutral ,Disagree ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Never  ,Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Sometimes  ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
6/20/2025 15:42,18–24     ,Male ,Student ,2–4 hours ,"Facebook , Twitter / X  / , WhatsApp , Telegram ",Yes ,Neutral ,Disagree ,Never  ,Yes ,None of the above   ,Never  ,Never  ,Rarely ,Yes ,Yes ,Phishing email  ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Sometimes  ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
6/20/2025 16:25,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Twitter / X  / , Telegram ",Maybe ,Agree ,Strongly Disagree  ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ","Yes, always , ",Occasionally  ,Occasionally  ,Yes ,Yes ,Fake social media profile or friend request       ,Ignore or delete the message     ,Provide the requested information immediately    ,Always ,No ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 17:06,18–24     ,Male ,Student ,Less than 2 hours   ,"Facebook , Instagram , WhatsApp , Telegram , Other Please Specify",Yes ,Disagree ,Agree ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,Occasionally  ,Rarely ,Yes ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/20/2025 17:42,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Telegram ",Maybe ,Disagree ,Strongly Disagree  ,Never  ,Yes ,Phone calls impersonating official staff      ,Rarely ,Rarely ,"Yes, frequently , ",No ,No ,Fake social media profile or friend request       ,Ignore or delete the message     ,Ignore or delete the message     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 18:02,18–24     ,Male ,Unemployed ,5–8 hours ,"Facebook , Instagram , TikTok , WhatsApp , Telegram , Other Please Specify",Yes ,Neutral ,Neutral ,Never  ,No ,None of the above   ,"Yes, always , ",Never  ,"Yes, frequently , ",No ,Yes ,Fake website or app    ,Provide the information immediately     ,Report it to the platform or authorities     ,Sometimes  ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 18:38,18–24     ,Male ,Job holder ,2–4 hours ,"Facebook , Instagram , WhatsApp , Telegram ",Yes ,Agree ,Agree ,Sometimes  ,No ,None of the above   ,"Yes, always , ","Yes, regularly , ","Yes, frequently , ",Yes ,No ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Sometimes  ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/20/2025 18:40,18–24     ,Female ,Student ,2–4 hours ,"Facebook , Instagram , WhatsApp , Telegram ",Maybe ,Disagree ,Agree ,Sometimes  ,Yes ,"Phishing emails requesting personal info     , Fake social media profiles/friend requests     , Malware links in emails or messages     ","Yes, always , ",Occasionally  ,"Yes, frequently , ",No ,Yes ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Often ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 18:40,18–24     ,Male ,Job holder ,2–4 hours ,"Facebook , Instagram , WhatsApp ",No ,Neutral ,Neutral ,Sometimes  ,No ,None of the above   ,Sometimes  ,Occasionally  ,Occasionally  ,No ,No ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Always ,No ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 19:11,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , LinkedIn , WhatsApp , Telegram , Other Please Specify",Maybe ,Disagree ,Neutral ,Sometimes  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ","Yes, always , ","Yes, regularly , ",Occasionally  ,No ,No ,Other please specify     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 19:51,Under 18   ,Male ,Student ,2–4 hours ,"Facebook , Instagram ",Maybe ,Neutral ,Disagree ,Sometimes  ,Yes ,None of the above   ,Sometimes  ,"Yes, regularly , ",Occasionally  ,Yes ,Yes ,Fake social media profile or friend request       ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
