What is your age group?,What is your gender?,What is your current occupation or professional status?,How many hours do you spend online daily?,Which social media platforms do you use regularly? Select all that apply.,Have you ever clicked on a suspicious or unknown link while browsing or using social media?,I usually trust people I interact with online,I click on links before verifying their source,"Do you tend to share personal information online quickly when prompted, without much thought?",Have you heard of social engineering or phishing as a cyber threat?,Which of the following do you recognize as social engineering tactics? Select all that apply.,"Do you regularly share personal details, e.g., birthday, location, phone number on social media profiles?",Do you review and adjust privacy settings on your social media accounts?,Have you ever used public Wi-Fi networks for accessing your personal or academic accounts?,"Have you ever received suspicious emails, messages, or calls asking for your personal or financial information?",Have you ever been a victim of an online scam or identity theft?,"If yes, what type of scam did you experience?","If someone claiming to be university staff asks for your login credentials via email or social media, what would you do?","If you receive a message offering a prize or gift but requires personal information, how would you respond?",Do you use unique passwords for different online accounts?,Do you enable two-factor authentication 2FA on your important accounts?,How frequently do you update your passwords?,Do you consent to your anonymized responses being used for academic research purposes?
35-50,Male,Self-employed,4-6 hours,"LinkedIn, Twitter, Facebook",No,Agree,Neutral,No,No,"Pretexting, Baiting",Yes,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,Yes,No,Every 6 months,Yes
25-34,Male,Employed,2-4 hours,"YouTube, Instagram, Facebook",Yes,Neutral,Disagree,Yes,No,All of the above,Yes,Yes,Yes,No,No,N/A,Verify through official university channels first,Report as spam or scam,No,No,Monthly,Yes
25-34,Female,Self-employed,2-4 hours,"TikTok, Instagram, Snapchat",Yes,Disagree,Strongly Agree,No,Yes,"Phishing emails, Baiting",No,No,No,Yes,No,N/A,Ignore and report to university IT department,Block the sender immediately,Yes,Yes,Every 6 months,Yes
18-24,Male,Employed,4-6 hours,"Instagram, Twitter, LinkedIn",No,Strongly Agree,Disagree,Yes,Yes,Phishing emails,Yes,No,No,Yes,No,N/A,Delete the message and report as phishing,Block the sender immediately,No,Yes,Monthly,Yes
18-24,Male,Employed,4-6 hours,"WhatsApp, Facebook, YouTube",No,Agree,Neutral,No,Yes,"Phishing emails, Baiting",Yes,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Verify the legitimacy of the sender first,No,No,Every 3 months,Yes
18-24,Male,Employed,4-6 hours,"Instagram, TikTok, Snapchat",Yes,Strongly Disagree,Disagree,No,Yes,"Pretexting, Baiting",Yes,No,Yes,Yes,Yes,Social media scam,Verify through official university channels first,Verify the legitimacy of the sender first,Yes,Yes,Every 3 months,Yes
18-24,Female,Self-employed,6-8 hours,"WhatsApp, Facebook, YouTube",Yes,Neutral,Disagree,No,No,"Phishing emails, Pretexting",Yes,Yes,Yes,Yes,No,N/A,Ignore and report to university IT department,Verify the legitimacy of the sender first,Yes,Yes,Every 6 months,Yes
18-24,Male,Employed,4-6 hours,"Instagram, Twitter, LinkedIn",Yes,Neutral,Strongly Disagree,No,Yes,"Pretexting, Baiting",No,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Block the sender immediately,No,No,Rarely or never,Yes
18-24,Male,Self-employed,More than 8 hours,"Instagram, Twitter, LinkedIn",Yes,Disagree,Strongly Disagree,No,Yes,None of the above,Yes,Yes,Yes,No,No,N/A,Ignore and report to university IT department,Ignore and delete the message,Yes,Yes,Monthly,Yes
18-24,Male,Employed,4-6 hours,"WhatsApp, Facebook, YouTube",Yes,Strongly Disagree,Disagree,Yes,Yes,"Phishing emails, Pretexting",Yes,No,Yes,No,No,N/A,Ignore and report to university IT department,Report as spam or scam,No,No,Rarely or never,Yes
18-24,Female,Unemployed,4-6 hours,"WhatsApp, Facebook, YouTube",No,Disagree,Strongly Agree,No,Yes,"Phishing emails, Baiting",No,No,Yes,Yes,No,N/A,Verify through official university channels first,Block the sender immediately,No,Yes,Rarely or never,Yes
35-50,Male,Retired,4-6 hours,"Facebook, WhatsApp, Twitter",Yes,Strongly Disagree,Neutral,Yes,Yes,Phishing emails,Yes,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,Yes,No,Rarely or never,Yes
25-34,Male,Employed,More than 8 hours,"Instagram, Twitter, LinkedIn",Yes,Agree,Strongly Agree,Yes,Yes,None of the above,No,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,No,No,Rarely or never,Yes
35-50,Male,Employed,4-6 hours,"YouTube, Instagram, Facebook",Yes,Strongly Agree,Disagree,No,Yes,None of the above,No,Yes,Yes,No,No,N/A,Ignore and report to university IT department,Ignore and delete the message,Yes,No,Monthly,Yes
35-50,Female,Self-employed,More than 8 hours,"Facebook, WhatsApp, Twitter",Yes,Neutral,Disagree,No,Yes,All of the above,No,Yes,No,No,No,N/A,Verify through official university channels first,Ignore and delete the message,No,Yes,Rarely or never,Yes
25-34,Female,Student,2-4 hours,"YouTube, Instagram, Facebook",Yes,Neutral,Neutral,Yes,Yes,None of the above,Yes,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,No,No,Rarely or never,Yes
25-34,Female,Student,More than 8 hours,"LinkedIn, Twitter, Facebook",Yes,Disagree,Agree,No,Yes,All of the above,Yes,No,No,Yes,No,N/A,Verify through official university channels first,Verify the legitimacy of the sender first,No,No,Rarely or never,Yes
18-24,Female,Student,More than 8 hours,"TikTok, Instagram, Snapchat",No,Agree,Strongly Disagree,Yes,No,"Pretexting, Baiting",No,No,No,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,No,No,Every 3 months,Yes
25-34,Female,Student,More than 8 hours,"LinkedIn, Twitter, Facebook",No,Disagree,Agree,No,Yes,"Pretexting, Baiting",Yes,Yes,Yes,Yes,No,N/A,Delete the message and report as phishing,Report as spam or scam,Yes,Yes,Every 6 months,Yes
25-34,Male,Employed,6-8 hours,"Instagram, TikTok, Snapchat",Yes,Strongly Disagree,Strongly Agree,Yes,Yes,"Pretexting, Baiting",No,No,Yes,Yes,No,N/A,Verify through official university channels first,Block the sender immediately,No,No,Rarely or never,Yes
25-34,Male,Student,4-6 hours,"WhatsApp, Facebook, YouTube",No,Agree,Disagree,No,Yes,All of the above,No,Yes,No,Yes,No,N/A,Verify through official university channels first,Report as spam or scam,No,Yes,Rarely or never,Yes
18-24,Male,Student,2-4 hours,"TikTok, Instagram, Snapchat",Yes,Agree,Neutral,Yes,Yes,None of the above,Yes,Yes,No,Yes,No,N/A,Ignore and report to university IT department,Verify the legitimacy of the sender first,No,No,Rarely or never,Yes
25-34,Male,Employed,6-8 hours,"LinkedIn, Twitter, Facebook",No,Agree,Neutral,No,Yes,Phishing emails,No,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Verify the legitimacy of the sender first,No,Yes,Monthly,Yes
18-24,Female,Employed,2-4 hours,"Instagram, TikTok, Snapchat",No,Disagree,Neutral,Yes,Yes,Phishing emails,Yes,No,Yes,Yes,No,N/A,Verify through official university channels first,Ignore and delete the message,No,Yes,Rarely or never,Yes
35-50,Male,Employed,2-4 hours,"Instagram, TikTok, Snapchat",Yes,Neutral,Disagree,No,Yes,None of the above,No,Yes,No,No,No,N/A,Verify through official university channels first,Block the sender immediately,Yes,No,Every 6 months,Yes
25-34,Male,Student,6-8 hours,"YouTube, Instagram, Facebook",Yes,Neutral,Disagree,Yes,Yes,"Phishing emails, Pretexting",Yes,No,Yes,Yes,No,N/A,Verify through official university channels first,Block the sender immediately,No,Yes,Rarely or never,Yes
25-34,Male,Employed,6-8 hours,"YouTube, Instagram, Facebook",Yes,Disagree,Disagree,No,Yes,"Phishing emails, Baiting",No,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Verify the legitimacy of the sender first,No,Yes,Rarely or never,Yes
18-24,Male,Self-employed,More than 8 hours,"YouTube, Instagram, Facebook",No,Strongly Agree,Strongly Disagree,Yes,Yes,None of the above,Yes,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Block the sender immediately,Yes,No,Every 6 months,Yes
25-34,Female,Student,6-8 hours,"TikTok, Instagram, Snapchat",Yes,Disagree,Agree,No,Yes,"Pretexting, Baiting",No,Yes,No,Yes,Yes,Financial fraud,Verify through official university channels first,Ignore and delete the message,Yes,No,Rarely or never,Yes
25-34,Male,Employed,4-6 hours,"Instagram, TikTok, Snapchat",Yes,Disagree,Disagree,No,No,All of the above,No,Yes,Yes,Yes,No,N/A,Ignore and report to university IT department,Block the sender immediately,No,Yes,Every 3 months,Yes
25-34,Female,Employed,4-6 hours,"TikTok, Instagram, Snapchat",No,Neutral,Agree,Yes,Yes,"Phishing emails, Pretexting, Baiting",Yes,Yes,Yes,Yes,No,N/A,Delete the message and report as phishing,Verify the legitimacy of the sender first,No,No,Rarely or never,Yes
25-34,Female,Employed,6-8 hours,"Instagram, TikTok, Snapchat",Yes,Strongly Agree,Neutral,Yes,No,"Phishing emails, Pretexting, Baiting",Yes,Yes,Yes,Yes,Yes,Online shopping fraud,Verify through official university channels first,Verify the legitimacy of the sender first,No,No,Rarely or never,Yes
Less than 18,Male,Student,2-4 hours,"YouTube, Instagram, Facebook",No,Strongly Disagree,Disagree,No,No,"Phishing emails, Pretexting, Baiting",Yes,No,No,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,Yes,No,Every 3 months,Yes
25-34,Male,Employed,6-8 hours,"Instagram, Twitter, LinkedIn",No,Strongly Agree,Agree,Yes,Yes,None of the above,No,No,No,No,No,N/A,Verify through official university channels first,Block the sender immediately,No,No,Monthly,Yes
25-34,Male,Employed,6-8 hours,"Instagram, Twitter, LinkedIn",No,Agree,Agree,Yes,No,"Pretexting, Baiting",Yes,Yes,Yes,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,No,Yes,Rarely or never,Yes
18-24,Male,Employed,Less than 2 hours,"TikTok, Instagram, Snapchat",No,Strongly Agree,Neutral,No,No,None of the above,Yes,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Verify the legitimacy of the sender first,No,Yes,Rarely or never,Yes
25-34,Male,Self-employed,More than 8 hours,"LinkedIn, Twitter, Facebook",No,Strongly Disagree,Disagree,No,No,"Phishing emails, Pretexting, Baiting",Yes,Yes,Yes,No,No,N/A,Verify through official university channels first,Report as spam or scam,No,Yes,Monthly,Yes
25-34,Female,Employed,4-6 hours,"WhatsApp, Facebook, YouTube",No,Neutral,Agree,No,Yes,"Pretexting, Baiting",Yes,No,Yes,Yes,No,N/A,Verify through official university channels first,Verify the legitimacy of the sender first,No,No,Monthly,Yes
18-24,Male,Employed,6-8 hours,"WhatsApp, Facebook, YouTube",Yes,Strongly Agree,Disagree,Yes,Yes,"Phishing emails, Pretexting",Yes,No,Yes,No,No,N/A,Ignore and report to university IT department,Block the sender immediately,No,Yes,Every 3 months,Yes
25-34,Female,Student,6-8 hours,"Facebook, WhatsApp, Twitter",Yes,Disagree,Disagree,Yes,Yes,All of the above,Yes,Yes,Yes,Yes,No,N/A,Verify through official university channels first,Ignore and delete the message,No,No,Rarely or never,Yes
18-24,Female,Student,4-6 hours,"Instagram, Twitter, LinkedIn",Yes,Agree,Disagree,No,Yes,Phishing emails,Yes,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Report as spam or scam,No,No,Monthly,Yes
Less than 18,Male,Student,4-6 hours,"WhatsApp, Facebook, YouTube",Yes,Neutral,Disagree,No,Yes,"Phishing emails, Pretexting",Yes,No,No,No,Yes,Identity theft,Contact the university directly to confirm,Verify the legitimacy of the sender first,No,No,Every 3 months,Yes
18-24,Female,Employed,4-6 hours,"TikTok, Instagram, Snapchat",Yes,Agree,Strongly Agree,No,Yes,All of the above,Yes,No,Yes,Yes,Yes,Social media scam,Ignore and report to university IT department,Ignore and delete the message,No,Yes,Every 3 months,Yes
35-50,Female,Employed,More than 8 hours,"YouTube, Instagram, Facebook",No,Disagree,Neutral,No,Yes,"Phishing emails, Baiting",No,No,No,No,No,N/A,Contact the university directly to confirm,Block the sender immediately,Yes,No,Monthly,Yes
18-24,Male,Employed,More than 8 hours,"Facebook, Instagram, WhatsApp",Yes,Agree,Disagree,No,Yes,"Phishing emails, Pretexting, Baiting",Yes,No,Yes,Yes,No,N/A,Verify through official university channels first,Block the sender immediately,Yes,No,Every 3 months,Yes
18-24,Female,Student,More than 8 hours,"YouTube, Instagram, Facebook",Yes,Strongly Disagree,Strongly Agree,Yes,No,"Phishing emails, Pretexting, Baiting",Yes,No,Yes,No,No,N/A,Ignore and report to university IT department,Ignore and delete the message,Yes,No,Rarely or never,Yes
18-24,Male,Student,4-6 hours,"Instagram, Twitter, LinkedIn",Yes,Agree,Strongly Disagree,No,Yes,None of the above,Yes,No,Yes,Yes,No,N/A,Verify through official university channels first,Ignore and delete the message,Yes,Yes,Every 6 months,Yes
18-24,Female,Student,More than 8 hours,"TikTok, Instagram, Snapchat",No,Agree,Disagree,No,Yes,"Phishing emails, Pretexting, Baiting",Yes,No,No,Yes,No,N/A,Verify through official university channels first,Ignore and delete the message,Yes,No,Every 6 months,Yes
Less than 18,Male,Employed,6-8 hours,"Facebook, Instagram, WhatsApp",No,Neutral,Strongly Agree,No,No,None of the above,Yes,No,Yes,No,No,N/A,Verify through official university channels first,Block the sender immediately,No,Yes,Rarely or never,Yes
18-24,Male,Student,2-4 hours,"Instagram, Twitter, LinkedIn",Yes,Neutral,Strongly Disagree,Yes,No,None of the above,Yes,No,Yes,No,No,N/A,Delete the message and report as phishing,Ignore and delete the message,No,Yes,Every 6 months,Yes
18-24,Female,Employed,4-6 hours,"Facebook, Instagram, WhatsApp",No,Strongly Agree,Agree,No,No,"Phishing emails, Pretexting",No,Yes,Yes,No,No,N/A,Verify through official university channels first,Verify the legitimacy of the sender first,No,No,Every 3 months,Yes
35-50,Female,Student,2-4 hours,"WhatsApp, Facebook, YouTube",No,Strongly Agree,Disagree,No,Yes,Phishing emails,No,Yes,No,Yes,No,N/A,Verify through official university channels first,Ignore and delete the message,Yes,No,Every 3 months,Yes
25-34,Male,Student,2-4 hours,"Facebook, Instagram, WhatsApp",Yes,Neutral,Strongly Agree,No,Yes,All of the above,No,No,Yes,Yes,Yes,Social media scam,Contact the university directly to confirm,Block the sender immediately,No,No,Every 3 months,Yes
18-24,Male,Retired,2-4 hours,"TikTok, Instagram, Snapchat",No,Disagree,Agree,No,Yes,None of the above,Yes,No,Yes,No,No,N/A,Verify through official university channels first,Report as spam or scam,No,No,Rarely or never,Yes
18-24,Female,Employed,4-6 hours,"Facebook, WhatsApp, Twitter",No,Neutral,Agree,Yes,No,"Pretexting, Baiting",No,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,Yes,Yes,Every 3 months,Yes
Less than 18,Female,Unemployed,6-8 hours,"LinkedIn, Twitter, Facebook",No,Agree,Strongly Disagree,Yes,No,"Pretexting, Baiting",Yes,Yes,No,Yes,No,N/A,Ignore and report to university IT department,Verify the legitimacy of the sender first,No,No,Every 3 months,Yes
25-34,Female,Employed,6-8 hours,"TikTok, Instagram, Snapchat",Yes,Agree,Disagree,No,Yes,"Phishing emails, Baiting",No,No,Yes,Yes,No,N/A,Verify through official university channels first,Verify the legitimacy of the sender first,No,No,Rarely or never,Yes
18-24,Male,Student,2-4 hours,"Instagram, Twitter, LinkedIn",Yes,Neutral,Disagree,Yes,Yes,None of the above,No,No,Yes,Yes,No,N/A,Verify through official university channels first,Block the sender immediately,No,No,Every 6 months,Yes
18-24,Male,Unemployed,4-6 hours,"Facebook, Instagram, WhatsApp",Yes,Disagree,Agree,Yes,Yes,All of the above,Yes,No,Yes,Yes,Yes,Financial fraud,Delete the message and report as phishing,Block the sender immediately,Yes,No,Every 6 months,Yes
35-50,Male,Unemployed,More than 8 hours,"TikTok, Instagram, Snapchat",Yes,Disagree,Strongly Agree,No,Yes,None of the above,No,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Report as spam or scam,No,No,Every 3 months,Yes
18-24,Female,Employed,2-4 hours,"YouTube, Instagram, Facebook",No,Disagree,Agree,Yes,Yes,"Phishing emails, Baiting",Yes,Yes,No,No,No,N/A,Ignore and report to university IT department,Ignore and delete the message,No,No,Every 3 months,Yes
18-24,Male,Self-employed,More than 8 hours,"Facebook, WhatsApp, Twitter",No,Agree,Disagree,Yes,No,None of the above,Yes,No,Yes,No,No,N/A,Delete the message and report as phishing,Ignore and delete the message,No,Yes,Rarely or never,Yes
35-50,Male,Student,4-6 hours,"Instagram, TikTok, Snapchat",No,Neutral,Disagree,No,Yes,"Phishing emails, Pretexting",No,No,No,Yes,Yes,Online shopping fraud,Contact the university directly to confirm,Block the sender immediately,No,No,Rarely or never,Yes
25-34,Male,Student,4-6 hours,"YouTube, Instagram, Facebook",No,Neutral,Agree,No,No,"Phishing emails, Baiting",Yes,No,No,Yes,Yes,Financial fraud,Verify through official university channels first,Report as spam or scam,No,Yes,Every 6 months,Yes
18-24,Female,Student,6-8 hours,"Instagram, Twitter, LinkedIn",Yes,Strongly Disagree,Agree,Yes,No,"Phishing emails, Pretexting, Baiting",Yes,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Verify the legitimacy of the sender first,No,Yes,Rarely or never,Yes
18-24,Male,Employed,6-8 hours,"WhatsApp, Facebook, YouTube",Yes,Neutral,Strongly Agree,Yes,Yes,"Phishing emails, Baiting",No,No,Yes,Yes,Yes,Social media scam,Contact the university directly to confirm,Block the sender immediately,No,No,Rarely or never,Yes
18-24,Male,Student,4-6 hours,"YouTube, Instagram, Facebook",Yes,Disagree,Strongly Agree,No,Yes,"Phishing emails, Baiting",No,No,No,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,No,Yes,Every 6 months,Yes
18-24,Female,Employed,2-4 hours,"Instagram, TikTok, Snapchat",No,Neutral,Disagree,No,No,None of the above,Yes,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Report as spam or scam,Yes,No,Every 6 months,Yes
18-24,Female,Student,6-8 hours,"Facebook, Instagram, WhatsApp",Yes,Disagree,Strongly Disagree,Yes,Yes,"Phishing emails, Pretexting, Baiting",Yes,Yes,Yes,Yes,No,N/A,Verify through official university channels first,Report as spam or scam,No,No,Every 3 months,Yes
Less than 18,Female,Employed,Less than 2 hours,"Facebook, WhatsApp, Twitter",No,Disagree,Neutral,No,Yes,All of the above,No,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Verify the legitimacy of the sender first,Yes,No,Rarely or never,Yes
25-34,Male,Unemployed,4-6 hours,"Instagram, TikTok, Snapchat",Yes,Disagree,Neutral,No,Yes,"Pretexting, Baiting",Yes,Yes,No,No,No,N/A,Delete the message and report as phishing,Verify the legitimacy of the sender first,No,No,Rarely or never,Yes
18-24,Male,Student,Less than 2 hours,"Facebook, WhatsApp, Twitter",No,Agree,Disagree,No,No,All of the above,Yes,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Report as spam or scam,No,Yes,Every 6 months,Yes
18-24,Male,Employed,More than 8 hours,"WhatsApp, Facebook, YouTube",Yes,Agree,Strongly Agree,No,Yes,Phishing emails,Yes,Yes,Yes,Yes,No,N/A,Verify through official university channels first,Verify the legitimacy of the sender first,Yes,Yes,Every 6 months,Yes
25-34,Female,Employed,6-8 hours,"YouTube, Instagram, Facebook",No,Agree,Strongly Disagree,No,No,"Phishing emails, Pretexting",No,Yes,No,Yes,No,N/A,Ignore and report to university IT department,Verify the legitimacy of the sender first,Yes,No,Every 6 months,Yes
25-34,Female,Student,4-6 hours,"LinkedIn, Twitter, Facebook",Yes,Disagree,Neutral,No,No,"Phishing emails, Baiting",No,Yes,No,Yes,No,N/A,Ignore and report to university IT department,Ignore and delete the message,Yes,No,Every 3 months,Yes
18-24,Male,Student,6-8 hours,"Facebook, WhatsApp, Twitter",Yes,Agree,Strongly Agree,Yes,Yes,"Pretexting, Baiting",Yes,No,Yes,No,No,N/A,Contact the university directly to confirm,Block the sender immediately,No,No,Rarely or never,Yes
25-34,Female,Student,6-8 hours,"TikTok, Instagram, Snapchat",No,Neutral,Strongly Disagree,No,No,None of the above,Yes,No,Yes,Yes,No,N/A,Verify through official university channels first,Report as spam or scam,No,Yes,Every 3 months,Yes
25-34,Male,Student,6-8 hours,"WhatsApp, Facebook, YouTube",Yes,Agree,Agree,Yes,Yes,"Pretexting, Baiting",No,Yes,Yes,No,No,N/A,Contact the university directly to confirm,Block the sender immediately,No,Yes,Monthly,Yes
18-24,Female,Employed,4-6 hours,"Facebook, Instagram, WhatsApp",No,Strongly Agree,Disagree,No,No,Phishing emails,Yes,No,No,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,Yes,No,Every 6 months,Yes
18-24,Female,Employed,More than 8 hours,"LinkedIn, Twitter, Facebook",Yes,Disagree,Neutral,Yes,Yes,"Phishing emails, Baiting",Yes,Yes,Yes,No,No,N/A,Contact the university directly to confirm,Ignore and delete the message,No,No,Every 3 months,Yes
35-50,Female,Employed,Less than 2 hours,"Instagram, Twitter, LinkedIn",Yes,Neutral,Agree,No,Yes,All of the above,No,Yes,Yes,No,No,N/A,Delete the message and report as phishing,Verify the legitimacy of the sender first,Yes,Yes,Monthly,Yes
18-24,Male,Student,More than 8 hours,"Facebook, WhatsApp, Twitter",Yes,Agree,Agree,No,No,Phishing emails,Yes,No,No,Yes,Yes,Phishing email,Ignore and report to university IT department,Verify the legitimacy of the sender first,Yes,No,Every 3 months,Yes
18-24,Male,Employed,6-8 hours,"TikTok, Instagram, Snapchat",No,Agree,Disagree,No,No,"Pretexting, Baiting",Yes,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Block the sender immediately,Yes,No,Rarely or never,Yes
Less than 18,Female,Employed,More than 8 hours,"Facebook, Instagram, WhatsApp",Yes,Neutral,Agree,Yes,Yes,Phishing emails,Yes,No,Yes,Yes,Yes,Online shopping fraud,Delete the message and report as phishing,Report as spam or scam,No,No,Every 3 months,Yes
25-34,Female,Employed,More than 8 hours,"WhatsApp, Facebook, YouTube",Yes,Disagree,Agree,No,Yes,"Phishing emails, Pretexting, Baiting",Yes,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Report as spam or scam,No,Yes,Monthly,Yes
Less than 18,Female,Employed,4-6 hours,"WhatsApp, Facebook, YouTube",Yes,Disagree,Neutral,Yes,Yes,Phishing emails,Yes,Yes,No,Yes,No,N/A,Verify through official university channels first,Verify the legitimacy of the sender first,Yes,Yes,Every 6 months,Yes
18-24,Male,Employed,6-8 hours,"YouTube, Instagram, Facebook",No,Strongly Agree,Agree,No,Yes,"Phishing emails, Pretexting, Baiting",No,Yes,No,Yes,No,N/A,Verify through official university channels first,Report as spam or scam,Yes,Yes,Monthly,Yes
18-24,Male,Unemployed,4-6 hours,"Facebook, WhatsApp, Twitter",Yes,Neutral,Agree,Yes,No,"Phishing emails, Pretexting",Yes,Yes,Yes,Yes,Yes,Online shopping fraud,Ignore and report to university IT department,Block the sender immediately,Yes,No,Every 6 months,Yes
25-34,Male,Employed,More than 8 hours,"Instagram, TikTok, Snapchat",No,Disagree,Disagree,No,Yes,"Phishing emails, Pretexting",No,Yes,Yes,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,Yes,No,Every 6 months,Yes
35-50,Female,Student,4-6 hours,"YouTube, Instagram, Facebook",Yes,Disagree,Strongly Agree,Yes,Yes,Phishing emails,No,No,Yes,No,No,N/A,Contact the university directly to confirm,Report as spam or scam,Yes,No,Every 6 months,Yes
18-24,Male,Self-employed,6-8 hours,"Facebook, WhatsApp, Twitter",Yes,Disagree,Strongly Disagree,No,No,"Phishing emails, Baiting",No,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Block the sender immediately,No,No,Rarely or never,Yes
18-24,Male,Student,2-4 hours,"WhatsApp, Facebook, YouTube",Yes,Agree,Agree,No,Yes,"Phishing emails, Pretexting",No,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Verify the legitimacy of the sender first,No,No,Every 6 months,Yes
18-24,Male,Self-employed,4-6 hours,"YouTube, Instagram, Facebook",No,Strongly Agree,Agree,No,Yes,All of the above,No,No,Yes,Yes,Yes,Identity theft,Verify through official university channels first,Block the sender immediately,No,Yes,Rarely or never,Yes
25-34,Female,Student,6-8 hours,"WhatsApp, Facebook, YouTube",No,Strongly Agree,Strongly Disagree,No,No,None of the above,Yes,No,Yes,Yes,No,N/A,Verify through official university channels first,Block the sender immediately,No,Yes,Rarely or never,Yes
